iter	Passed	Remaining
0	75	75619
1	76	38132
2	77	25646
3	77	19383
4	78	15603
5	78	13086
6	79	11281
7	80	9929
8	80	8879
9	81	8037
10	81	7365
11	82	6799
12	83	6314
13	83	5895
14	84	5535
15	84	5218
16	85	4935
17	85	4686
18	86	4461
19	87	4263
20	87	4082
21	87	3911
22	88	3759
23	89	3625
24	90	3515
25	90	3399
26	91	3290
27	91	3190
28	92	3094
29	92	3005
30	93	2921
31	93	2843
32	94	2770
33	95	2701
34	95	2636
35	96	2575
36	96	2518
37	97	2466
38	98	2417
39	98	2367
40	99	2319
41	99	2274
42	100	2231
43	100	2189
44	101	2150
45	101	2113
46	102	2077
47	102	2042
48	103	2008
49	104	1976
50	104	1947
51	105	1921
52	106	1894
53	106	1867
54	107	1842
55	107	1817
56	108	1792
57	108	1768
58	109	1746
59	110	1724
60	110	1702
61	111	1682
62	111	1662
63	112	1644
64	113	1627
65	113	1610
66	114	1594
67	115	1576
68	115	1560
69	116	1545
70	117	1531
71	117	1516
72	118	1503
73	118	1488
74	119	1474
75	120	1462
76	120	1449
77	121	1436
78	122	1423
79	122	1409
80	123	1397
81	123	1384
82	124	1372
83	124	1360
84	125	1349
85	125	1337
86	126	1326
87	126	1315
88	127	1305
89	128	1296
90	128	1286
91	129	1276
92	129	1266
93	130	1256
94	130	1247
95	131	1237
96	131	1228
97	132	1220
98	133	1210
99	133	1202
100	134	1193
101	134	1184
102	135	1175
103	135	1169
104	136	1162
105	136	1154
106	137	1147
107	138	1139
108	138	1132
109	139	1124
110	139	1116
111	139	1109
112	140	1102
113	140	1095
114	141	1088
115	141	1080
116	142	1074
117	142	1068
118	143	1063
119	143	1055
120	144	1049
121	144	1043
122	145	1037
123	146	1031
124	146	1025
125	147	1019
126	147	1014
127	148	1009
128	148	1002
129	148	995
130	149	990
131	149	985
132	150	979
133	151	976
134	151	972
135	152	967
136	152	962
137	153	957
138	153	952
139	154	948
140	154	943
141	155	938
142	155	934
143	156	930
144	157	925
145	157	919
146	157	914
147	158	911
148	159	908
149	159	905
150	160	901
151	161	898
152	161	894
153	162	891
154	162	887
155	163	885
156	164	881
157	164	877
158	165	873
159	165	870
160	166	867
161	167	864
162	167	861
163	168	859
164	169	856
165	169	852
166	170	849
167	171	846
168	171	845
169	172	842
170	173	840
171	174	838
172	174	835
173	175	831
174	175	829
175	176	827
176	178	830
177	179	829
178	180	826
179	181	824
180	182	825
181	183	824
182	184	823
183	185	822
184	186	821
185	187	820
186	188	819
187	189	819
188	190	817
189	191	816
190	192	814
191	193	812
192	193	810
193	194	808
194	195	807
195	197	808
196	198	807
197	199	806
198	199	804
199	200	802
200	201	799
201	201	797
202	202	794
203	203	793
204	203	790
205	204	788
206	205	786
207	206	784
208	206	782
209	207	780
210	208	779
211	209	777
212	209	775
213	210	773
214	211	770
215	211	768
216	212	765
217	212	763
218	213	760
219	213	758
220	214	755
221	214	752
222	215	749
223	215	747
224	216	744
225	216	742
226	217	739
227	217	737
228	218	734
229	218	732
230	219	730
231	220	728
232	220	726
233	221	724
234	221	721
235	222	719
236	222	717
237	223	714
238	223	711
239	224	709
240	224	706
241	224	704
242	225	702
243	225	700
244	226	698
245	227	696
246	227	694
247	228	692
248	228	689
249	229	687
250	229	685
251	230	683
252	230	681
253	231	679
254	231	677
255	232	674
256	232	672
257	233	670
258	233	668
259	234	667
260	235	665
261	235	663
262	236	662
263	237	660
264	237	658
265	237	656
266	238	654
267	239	653
268	239	651
269	240	649
270	240	647
271	241	645
272	241	644
273	242	642
274	242	640
275	243	638
276	244	637
277	244	635
278	245	633
279	245	632
280	246	630
281	246	628
282	247	627
283	248	625
284	248	623
285	249	622
286	249	620
287	250	619
288	251	617
289	251	616
290	252	614
291	252	613
292	253	611
293	254	609
294	254	608
295	255	606
296	255	605
297	256	603
298	256	601
299	257	600
300	257	598
301	258	597
302	259	595
303	259	594
304	260	592
305	260	591
306	261	589
307	261	588
308	262	586
309	262	585
310	263	584
311	264	582
312	264	581
313	265	580
314	266	578
315	266	577
316	267	576
317	268	574
318	268	573
319	269	571
320	269	570
321	270	569
322	270	567
323	271	566
324	272	565
325	272	563
326	273	562
327	274	561
328	274	560
329	275	558
330	275	557
331	276	556
332	276	554
333	277	553
334	278	552
335	278	550
336	279	549
337	280	548
338	280	547
339	281	546
340	281	544
341	282	543
342	283	542
343	283	541
344	284	539
345	285	538
346	285	537
347	286	536
348	286	534
349	287	533
350	288	532
351	288	531
352	289	530
353	289	529
354	290	527
355	291	526
356	291	525
357	292	524
358	292	523
359	293	521
360	294	520
361	294	519
362	295	518
363	296	517
364	296	516
365	297	515
366	298	514
367	298	513
368	299	512
369	300	511
370	300	509
371	301	508
372	302	507
373	302	506
374	303	505
375	304	504
376	304	503
377	305	502
378	306	501
379	306	500
380	307	499
381	308	498
382	308	497
383	309	496
384	310	495
385	310	494
386	311	493
387	312	492
388	312	491
389	313	490
390	314	489
391	314	488
392	315	487
393	316	486
394	316	484
395	317	483
396	317	482
397	318	482
398	319	481
399	319	479
400	320	478
401	321	477
402	321	476
403	322	475
404	323	474
405	323	473
406	324	472
407	324	471
408	325	470
409	326	469
410	327	468
411	327	467
412	328	466
413	329	465
414	329	464
415	330	463
416	330	462
417	331	461
418	332	460
419	332	459
420	333	458
421	334	457
422	334	456
423	335	455
424	336	454
425	336	453
426	337	452
427	338	451
428	338	450
