iter	Passed	Remaining
0	138	13743
1	140	6900
2	142	4621
3	144	3468
4	146	2787
5	148	2330
6	150	2002
7	152	1758
8	154	1562
9	156	1409
10	157	1274
11	158	1163
12	160	1074
13	162	996
14	163	928
15	165	867
16	166	813
17	167	764
18	169	721
19	170	682
20	171	646
21	173	613
22	174	584
23	175	556
24	176	530
25	178	507
26	179	485
27	180	464
28	181	444
29	182	426
30	183	408
31	184	392
32	185	377
33	186	362
34	187	348
35	188	335
36	189	323
37	190	311
38	191	299
39	192	288
40	193	277
41	193	267
42	194	257
43	195	248
44	196	239
45	197	231
46	197	223
47	198	215
48	199	207
49	200	200
50	201	193
51	202	186
52	203	180
53	204	173
54	204	167
55	205	161
56	206	155
57	207	150
58	208	144
59	209	139
60	209	134
61	210	129
62	211	124
63	212	119
64	212	114
65	213	110
66	214	105
67	214	101
68	215	96
69	216	92
70	217	88
71	217	84
72	218	80
73	218	76
74	219	73
75	220	69
76	220	65
77	221	62
78	221	58
79	222	55
80	223	52
81	223	49
82	224	45
83	224	42
84	225	39
85	226	36
86	226	33
87	227	30
88	227	28
89	228	25
90	229	22
91	229	19
92	230	17
93	230	14
94	231	12
95	232	9
96	232	7
97	233	4
98	233	2
99	234	0
